Stockname,Date,Open,High,Low,Close,Adj Close,Volume
ADANIENT,2018-11-01,171.050003,178.100006,168.850006,175.0,173.013641,8041754
ADANIENT,2018-11-02,176.600006,179.5,173.800003,175.600006,173.606827,6839045
ADANIENT,2018-11-05,176.100006,176.75,155.800003,168.5,166.587402,12668556
ADANIENT,2018-11-06,168.25,169.0,162.0,164.449997,162.583374,5834504
ADANIENT,2018-11-07,165.0,169.0,164.699997,165.75,163.868622,1138303
ADANIENT,2018-11-09,165.5,167.800003,163.949997,166.300003,164.412384,4079435
ADANIENT,2018-11-12,166.0,167.899994,158.149994,160.25,158.431046,4332207
ADANIENT,2018-11-13,160.25,163.0,158.75,162.149994,160.309479,3641712
ADANIENT,2018-11-14,163.300003,163.75,158.25,160.850006,159.024261,3263131
ADANIENT,2018-11-15,161.75,166.25,160.0,162.850006,161.001541,5297431
ADANIENT,2018-11-16,163.0,163.850006,157.5,161.449997,159.617416,3885301
ADANIENT,2018-11-19,162.399994,164.399994,159.550003,162.100006,160.260056,3424402
ADANIENT,2018-11-20,161.649994,163.649994,156.949997,160.149994,158.332184,4293856
ADANIENT,2018-11-21,161.600006,162.0,158.5,161.0,159.172546,4209404
ADANIENT,2018-11-22,161.899994,161.949997,157.550003,158.5,156.700928,2405010
ADANIENT,2018-11-26,158.5,159.899994,155.649994,157.350006,155.56398,2428238
ADANIENT,2018-11-27,157.350006,161.0,154.25,159.149994,157.343521,3925863
ADANIENT,2018-11-28,159.149994,159.600006,156.300003,158.0,156.206573,3156482
ADANIENT,2018-11-29,159.350006,175.550003,158.699997,169.899994,167.971512,13648898
ADANIENT,2018-11-30,168.5,174.800003,163.5,165.0,163.127121,9405499
ADANIENT,2018-12-03,166.050003,168.5,163.5,166.699997,164.807846,3213684
ADANIENT,2018-12-04,165.949997,166.5,160.0,162.75,160.902679,3797368
ADANIENT,2018-12-05,161.050003,164.949997,155.75,157.399994,155.613403,8601249
